id,50,10,5,2,1,sentence
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_reduced_reward_stopwords_delimiters_10_,3,3,2,0,0,3
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_ubc_emotion_stopwords_delimiters_10_,49,49,23,9,4,25
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_ubc_emotion_stopwords_delimiters_10_,33,33,20,4,0,22
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_reduced_punishment_stopwords_delimiters_10_,13,13,12,9,1,12
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_ubc_cognition_stopwords_delimiters_10_,55,55,35,11,7,30
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_ubc_emotion_stopwords_delimiters_10_,7,7,5,2,1,4
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_ubc_morality_stopwords_delimiters_10_,16,16,13,2,1,12
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_ubc_cognition_stopwords_delimiters_10_,33,33,18,3,2,17
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_reduced_punishment_stopwords_delimiters_10_,8,8,8,6,1,7
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_ubc_religion_stopwords_delimiters_10_,56,56,38,13,4,33
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_ubc_cognition_stopwords_delimiters_10_,21,21,12,9,5,16
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_ubc_morality_stopwords_delimiters_10_,97,97,65,28,17,47
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_ubc_morality_stopwords_delimiters_10_,191,191,120,57,32,91
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_04_zhouli_seg_nopunc_reduced_deity_ubc_religion_stopwords_delimiters_10_,43,43,32,12,7,38
G10_Classics_04_zhouli_seg_nopunc_reduced_gods_ubc_religion_stopwords_delimiters_10_,53,53,30,15,5,38
G10_Classics_04_zhouli_seg_nopunc_reduced_gods_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_04_zhouli_seg_nopunc_reduced_deity_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_04_zhouli_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_04_zhouli_seg_nopunc_stoplisted_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_04_zhouli_seg_nopunc_reduced_gods_ubc_emotion_stopwords_delimiters_10_,4,4,4,2,2,3
G10_Classics_04_zhouli_seg_nopunc_stoplisted_tian_ubc_emotion_stopwords_delimiters_10_,1,1,1,0,0,0
