id,50,10,5,2,1,sentence
G10_Classics_05_chuci_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,7,7,3,2,0,5
G10_Classics_05_chuci_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,8,8,5,2,1,5
G10_Classics_05_chuci_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,18,18,11,4,3,15
G10_Classics_05_chuci_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,1,1,0,0,0,1
G10_Classics_05_chuci_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_05_chuci_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,11,11,3,1,0,3
G10_Classics_05_chuci_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_05_chuci_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,41,41,30,13,6,26
G10_Classics_06_yili_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,16,16,11,5,2,6
G10_Classics_06_yili_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,5,5,3,2,1,2
G10_Classics_06_yili_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,2,2,1,0,0,2
G10_Classics_06_yili_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,2,2,2,2,0,2
G10_Classics_06_yili_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,1,1,0,0,0,1
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,7,7,3,1,0,4
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,17,17,11,5,2,14
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,5,5,2,2,0,3
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,24,24,13,7,3,18
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,5,5,2,1,0,4
