id,50,10,5,2,1,sentence
G10_Classics_05_chuci_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,30,30,21,10,5,15
G10_Classics_05_chuci_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,29,29,19,10,4,16
G10_Classics_05_chuci_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,1,1,0,0,0,0
G10_Classics_05_chuci_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,4,4,1,0,0,2
G10_Classics_05_chuci_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,6,6,6,3,2,4
G10_Classics_05_chuci_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,7,7,6,5,3,4
G10_Classics_05_chuci_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,2,2,2,1,1,2
G10_Classics_05_chuci_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,13,13,8,3,1,4
G10_Classics_06_yili_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,3,3,2,2,0,2
G10_Classics_06_yili_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,18,18,12,9,6,6
G10_Classics_06_yili_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,5,5,4,3,2,1
G10_Classics_06_yili_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,3,3,3,0,0,2
G10_Classics_06_yili_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_06_yili_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,4,4,3,3,0,3
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,1,1,1,0,0,0
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,3,3,2,1,1,2
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,2,2,1,0,0,1
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,24,24,17,11,6,13
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,12,12,6,2,1,5
G10_Classics_07_shanhaijing_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,1,1,1,1,1,0
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_ubc_cognition_stopwords_delimiters_10_,5,5,3,1,0,3
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_ubc_morality_stopwords_delimiters_10_,11,11,7,4,4,5
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_ubc_religion_stopwords_delimiters_10_,28,28,19,13,6,17
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_reduced_reward_stopwords_delimiters_10_,3,3,1,1,0,1
G10_Classics_07_shanhaijing_seg_nopunc_standalone_di_ubc_emotion_stopwords_delimiters_10_,6,6,4,2,0,2
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_ubc_emotion_stopwords_delimiters_10_,94,94,55,20,7,44
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_ubc_cognition_stopwords_delimiters_10_,25,25,19,6,5,10
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_reduced_punishment_stopwords_delimiters_10_,16,16,9,2,2,5
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_di_reduced_punishment_stopwords_delimiters_10_,2,2,2,0,0,2
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_ubc_religion_stopwords_delimiters_10_,91,91,74,47,30,45
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_ubc_morality_stopwords_delimiters_10_,178,178,129,60,34,64
G10_Classics_08_jiaoshiyilin_seg_nopunc_standalone_tian_reduced_reward_stopwords_delimiters_10_,12,12,8,3,1,3
