id,50,10,5,2,1,sentence
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_ubc_religion_stopwords_delimiters_10_,79,79,63,39,23,32
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_ubc_cognition_stopwords_delimiters_10_,20,20,19,12,7,16
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_ubc_morality_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_ubc_morality_stopwords_delimiters_10_,131,131,83,48,27,42
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_ubc_emotion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_ubc_emotion_stopwords_delimiters_10_,8,8,6,3,2,4
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_reduced_reward_stopwords_delimiters_10_,4,4,3,1,1,3
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_reduced_punishment_stopwords_delimiters_10_,18,18,15,10,1,12
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_ubc_religion_stopwords_delimiters_10_,40,40,27,12,9,30
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_ubc_cognition_stopwords_delimiters_10_,53,53,23,12,3,15
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_reduced_punishment_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_ubc_morality_stopwords_delimiters_10_,47,47,31,20,9,13
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_ubc_emotion_stopwords_delimiters_10_,84,84,63,27,15,29
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_ubc_cognition_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_tian_ubc_emotion_stopwords_delimiters_10_,46,46,20,11,3,21
G10_Classics_03_zhouyi_seg_nopunc_reduced_deity_reduced_punishment_stopwords_delimiters_10_,2,2,0,0,0,2
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_ubc_cognition_stopwords_delimiters_10_,90,90,43,24,10,30
G10_Classics_03_zhouyi_seg_nopunc_stoplisted_di_ubc_religion_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_03_zhouyi_seg_nopunc_reduced_gods_ubc_religion_stopwords_delimiters_10_,156,156,111,48,28,71
G10_Classics_04_zhouli_seg_nopunc_stoplisted_tian_reduced_reward_stopwords_delimiters_10_,0,0,0,0,0,0
G10_Classics_04_zhouli_seg_nopunc_reduced_gods_ubc_morality_stopwords_delimiters_10_,15,15,8,1,0,7
G10_Classics_04_zhouli_seg_nopunc_stoplisted_tian_reduced_punishment_stopwords_delimiters_10_,3,3,2,1,1,1
G10_Classics_04_zhouli_seg_nopunc_stoplisted_tian_ubc_religion_stopwords_delimiters_10_,25,25,16,6,5,7
